date,title,amount
2026-02-09,Applecombill,24.90
2026-02-09,Mp *Emanuelleferreiras,108.00
2026-02-09,Capital - Ms Cg03,32.18
2026-02-09,Uber Uber * Pending,17.10
2026-02-09,Mercado Indaia,9.90
2026-02-09,Uber Uber * Pending,14.10
2026-02-07,Bim Conveniencia,135.00
2026-02-07,Edmilson Cesar de Abr,146.00
2026-02-05,Mercado Indaia,9.90
2026-02-05,Mercado Indaia,14.10
2026-02-02,Pagamento recebido,-600.00
2026-02-02,Supermercado Costa,26.99
2026-02-01,Magalu *Magalu - Parcela 1/2,128.75
2026-02-01,Uber Uber *Trip Help.U,19.05
2026-02-01,Supermercado Mardegan,11.68
2026-02-01,J.L.L. Lanches,16.90
2026-02-01,Grandao Emporio do Ter,31.00
2026-01-31,Outback Campo Grande,178.98
2026-01-31,World Tennis - Parcela 1/10,60.08
2026-01-28,Faz San Francisco - Parcela 1/10,594.00
2026-01-27,Nubank Ultravioleta,49.00
2026-01-20,Pagamento recebido,-148.98
2026-01-20,Amil Assistencia Medi - Parcela 11/12,49.99
