data,lançamento,valor
2025-04-16,JUROS DE MORA,1.51
2025-04-16,JUROS DE FINANCIAMENTO,22.38
2025-04-16,MULTA POR ATRASO,45.4
2025-04-16,ENCARGOS DE ATRASO,9.69
2025-04-08,EXPRESSO RIO-CT DO,36
2025-04-05,CAPITAL CHIP-CT,10
2025-04-05,PDV*DROGARIA-CT IRE,17.92
2025-04-05,INDIA PRODUT-CT ATURAI,8.5
2025-04-04,LE MOULIN DE-CT CAO,27
2025-04-01,COMPER 360  -CT,80.92
2025-04-01,IOF DE FINANCIAMENTO,9.26
2025-03-25,PanetteriaEx-CT s,184.25
2025-03-25,PAGAMENTO EFETUADO,-2270.23
2025-03-23,MORRO DO ERN-CT,4
2025-03-23,MORRO DO ERN-CT,2
2025-03-22,ARB COMERCIO-CT SALGAD,10.5
2025-03-17,MERCADO INDA-CT,27
2025-03-17,ANUIDADE DIFERENCI03/12,105
2025-03-02,VIVO BA LJ B-CT,-0.04
2025-03-02,VIVO BA LJ B-CT   02/03,199.68
2025-02-19,MERCADOLIVRE*ESPOR02/06,53.35
2025-02-19,MERCADOLIVRE*ESPORTES,-0.2
2025-02-18,LOJA MON AMO-CT   02/03,73.28
2025-02-18,PAGUE MENOS -CT,-0.04
2025-02-18,PAGUE MENOS -CT   02/03,65.34
2025-02-18,LOJA MON AMO-CT,-0.04
2025-02-18,ATTIVE PHARM-CT   02/02,54.95
2025-02-18,MERCADOLIVRE*L3JAM02/02,114.72
2025-02-18,MERCADOLIVRE*NHACH02/02,73.94
2025-01-16,SPRINTA     *SPRIN03/06,116.78
