data,lançamento,valor
2025-08-15,UBER* TRIP,9.37
2025-08-15,UBER* TRIP,11.38
2025-08-15,UBER* TRIP,11.01
2025-08-15,HTM    *JOBNAGRING01/12,103.11
2025-08-15,MERCADO INDAIA,97.03
2025-08-14,IOF COMPRA INTERNACIONA,4
2025-08-14,AMAZON SERVICOS DE VAR,19.9
2025-08-13,UBER* TRIP,30.12
2025-08-13,MERCADO INDAIA,21.15
2025-08-13,CURSOR  AI POWERED IDE,114.4
2025-08-13,LUCASFARIA.DEV,69.93
2025-08-13,Amazon Digital BR,29.53
2025-08-12,Amazon Digital BR,59.9
2025-08-09,DROGACRUZ,33.06
2025-08-09,TUIUIU PRESENTES E ART,123
2025-08-09,LOJA,69
2025-08-08,BACURI COZINHA REGIONA,242.37
2025-08-08,BOCA DA ONCA ECOTOUR,70
2025-08-08,DROGACRUZ,20.96
2025-08-07,BACURI COZINHA REGIONA,224.77
2025-08-07,POSTO SANTA LAURA,10.9
2025-08-07,COMITIVA GRILL,106.5
2025-08-07,GRUTA DO MIMOSO,120
2025-08-07,ARB COMERCIO DE SALGAD,20
2025-08-07,ARB COMERCIO DE SALGAD,69.5
2025-08-06,MARACUTAIA BOTECO,20
2025-08-06,MON AMOUR CO-CT IO01/04,52.45
2025-08-06,SandraMarciaDe,220
2025-08-06,LE MOULIN DE-CT CAO,112.2
2025-08-06,THOMAZ LANCHES,25
2025-08-05,Tun*Goomer*FunkyFresh,119
2025-08-03,TAKO COZINHA ORIENTAL,173.69
2025-08-03,MINIMERCADO INDAIA,20.94
2025-08-01,Tun*Goomer*FunkyFresh,107.9
2025-08-01,IPS BR*ONLYFANS,28.09
2025-07-31,MERCADOPAGO *CIASU01/02,154.02
2025-07-31,DocotrFeet,192
2025-07-31,CAMPO GRANDE PARKING,17
2025-07-31,CARREFOUR CAMPO GRANDE,6.29
2025-07-31,DROGASIL 1618     01/03,62.39
2025-07-30,MERCADO INDAIA,15.8
2025-07-29,MARACUTAIA B-CT O,107
2025-07-28,PADARIA TOSCANO,42.39
2025-07-25,Tun*Goomer*BastaPizzae,142.99
2025-07-25,OFFICINA SMART & IMPOR,25
2025-07-25,SamuelDeOliveira,7
2025-07-23,PARCELAMEN FATURA 01/04,866.33
2025-07-21,AmazonPrimeBR,19.9
2025-07-21,CREDITO PARCELAMENTO DA,-2671.18
2025-07-21,PAGAMENTO EFETUADO,-3000
2025-07-19,ANA CLAUDIA -CT RGO,50
2025-07-19,MERCADO INDAIA,59.35
2025-07-18,PAO E TAL CO-CT IENCIA,236.45
2025-07-17,ANUIDADE DIFERENCI07/12,105
2025-07-17,DM*GoDaddycomL,129.99
2025-07-15,RDSAUDE ONLINE,-0.01
2025-07-15,RDSAUDE ONLINE    02/02,115.12
2025-06-24,SABIN MEDICI-CT IA02/03,191.63
2025-06-07,RDSAUDE ONLINE    03/03,566.34
2025-05-28,MARISA 625  -CT   03/03,110.31
2025-05-15,GOL LINHAS A*YNDPU03/03,174.87
2025-02-19,MERCADOLIVRE*ESPOR06/06,53.35
