data,lançamento,valor
2025-10-15,APPLE.COM/BILL,9.9
2025-10-15,APPLE.COM/BILL,19.9
2025-10-15,APPLE.COM/BILL,19.9
2025-10-14,MERCADO INDAIA,32.3
2025-10-14,MERCADO INDAIA,38.65
2025-10-14,AMAZON SERVICOS DE VAR,19.9
2025-10-14,IOF COMPRA INTERNACIONA,4.04
2025-10-13,58273859Nayatiele,80.79
2025-10-13,RESTAURANTE PALOMA,30
2025-10-13,CURSOR  AI POWERED IDE,115.4
2025-10-13,PARADOURO,8
2025-10-12,IFD*MOZI COMERCIO E AL,209.98
2025-10-12,JoaoVitorCardoso,10
2025-10-11,EVANGELISTI GASTRONO,139
2025-10-11,MOMO GELATO JARDINS,34
2025-10-10,SUCRIER,47.4
2025-10-10,UBER* TRIP,20.32
2025-10-09,IFD*DIVAS CHOCOLATES E,182.38
2025-10-09,APPLE.COM/BILL,99.9
2025-10-08,SANTA MARIA EMPORIO,28.9
2025-10-08,KOTAY SUSHI LAPA,93.39
2025-10-08,UBER* TRIP,32.34
2025-10-07,ALTER VILLA SUITES,433.33
2025-10-07,SKINAO DO FRANGO,9
2025-10-07,ARTE SETE SANTAREM,18
2025-10-07,SKINAO DO FRANGO,50.97
2025-10-07,ARTE SETE SANTAREM,32
2025-10-06,RARITA,20
2025-10-06,BOTO GELATERIA ARTESAN,23
2025-10-06,RARITA            01/02,150
2025-10-06,COMERCIAL SERIEMA,95
2025-10-06,SKINAO DO FRANGO,26
2025-10-06,LUANA FERREIRA DA SIL,172
2025-10-05,MARCELO F GANANCA ART,61
2025-10-05,BOTO GELATERIA ARTESAN,25
2025-10-04,BOTO GELATERIA ARTESAN,18
2025-10-04,SANDRINKS EVENTOS,20
2025-10-04,BOTO GELATERIA ARTESAN,10
2025-10-03,CASA DO SAULO,298.65
2025-10-03,ElisangelaRibeiro,441
2025-10-03,EvelynCarolina,50.6
2025-10-02,APPLE.COM/BILL,16.75
2025-10-01,AIRBNB * HMB8SQ9QE4,-8.4
2025-10-01,GleviaCintiaPinto,93
2025-10-01,IPS BR*Onlyfans,55.1
2025-09-30,J E VIANA BOCCHIO,75.53
2025-09-30,BOTO GELATERIA ARTESAN,25
2025-09-29,ARCOS IRIS DA AMAZONIA,117.7
2025-09-29,SKINAO DO FRANGO,63
2025-09-29,SKINAO DO FRANGO,191
2025-09-29,SKINAO DO FRANGO,4
2025-09-28,SORVETERIA CAIRU,35
2025-09-28,FILHA DO COMBU,12
2025-09-28,FILHA DO COMBU    01/02,144.5
2025-09-28,POINT DO ACAI,75
2025-09-27,UBER* TRIP,9.99
2025-09-27,BAR DO JAO  -CT,20
2025-09-27,SWEET MARKET 2,10
2025-09-27,TACACADO RENATO,66
2025-09-27,AEROPORTO VIRACOPOS CA,15
2025-09-27,SWEET MARKET 2,34
2025-09-26,UBER* TRIP,10.43
2025-09-26,DROGASIL 4017     01/03,72.88
2025-09-26,MARISA 625,59.99
2025-09-26,UBER* TRIP,13.34
2025-09-26,CACAU SHOW,17.97
2025-09-25,UBER* TRIP,10.78
2025-09-25,UBER* TRIP,8.01
2025-09-25,UBER* TRIP,10.59
2025-09-25,LE MOULIN DEPILACAO,129.8
2025-09-23,PAGAMENTO EFETUADO,-4839.52
2025-09-23,MERCADO INDAIA,69.09
2025-09-21,PANIFICADORA K E K,16.5
2025-09-19,CONVENIENCIA E RESTAUR,22.74
2025-09-19,SUPERMERCADO COSTA,34.26
2025-09-18,CONVENIENCIA E RESTAUR,25.06
2025-09-18,GNOMOS ACAI,14.85
2025-09-17,MERCADO RENDE MAIS,5.62
2025-09-17,EDMILSON CESAR DE ABR,35.86
2025-09-17,APPLE.COM/BILL,5.9
2025-09-17,ANUIDADE DIFERENCI09/12,105
2025-09-17,CENTRAL UTILIDADES,43
2025-09-16,PG *NIO FIBRA,89.9
2025-09-16,SUPERMERCADO MENDONCA,50
2025-09-16,SUPERMERCADO COSTA,22.37
2025-09-05,RDSAUDE ONLINE    02/06,420.53
2025-09-05,RDSAUDE ONLINE,-0.2
2025-08-30,MP *ROSALANDIA    02/02,47.5
2025-08-30,MON AMOUR COMERCIO02/02,74.95
2025-08-15,HTM    *JOBNAGRING03/12,103.11
