data,lançamento,valor
2025-02-16,ENCARGOS DE ATRASO,0.73
2025-02-16,JUROS DE MORA,0.19
2025-02-16,JUROS DE FINANCIAMENTO,2.74
2025-02-16,MULTA POR ATRASO,2.88
2025-02-11,Disney Plus,43.9
2025-02-03,ANUIDADE DIFERENCI01/12,105
2025-02-03,Amazon Digital BR,84.9
2025-02-02,CLICKBUS,38.93
2025-02-01,IOF DE FINANCIAMENTO,0.61
2025-02-01,Amazon Digital BR,29.9
2025-01-27,PAGAMENTO EFETUADO,-143.9
2025-01-24,Amazon Digital BR,22.9
2025-01-24,Amazon Digital BR,27.9
2025-01-16,SPRINTA     *SPRIN01/06,116.78
