data,lançamento,valor
2025-07-15,CASA DE BOLO-CT,64
2025-07-15,RDSAUDE ONLINE    01/02,115.12
2025-07-15,MF CG RESTAU-CT E,188.16
2025-07-14,IFD*SN CLUB LTDA,110.78
2025-07-13,PG *TON SAMILA ONCA,10
2025-07-12,DBRUSCHI    -CT,46.9
2025-07-12,DBRUSCHI    -CT,10
2025-07-12,DBRUSCHI    -CT,12
2025-07-12,DBRUSCHI    -CT,4
2025-07-12,DBRUSCHI    -CT,12
2025-07-12,DBRUSCHI    -CT,36
2025-07-12,DORABELLA   -CT,60
2025-07-12,DBRUSCHI    -CT,13.5
2025-07-11,SUPERMERCADO-CT DEGAN,53.48
2025-07-11,SUPERMERCADO-CT TA,130.14
2025-07-10,SUPERMERCADO-CT DEGAN,55.56
2025-07-10,VILSON LUIS -CT IGUES,44
2025-07-10,EmbalaRibas -CT,5
2025-07-09,MERCADO REND-CT IS,11.08
2025-07-09,SUPERMERCADO-CT DEGAN,2.5
2025-07-09,SUPERMERCADO-CT TA,3.74
2025-07-06,RESTAURANTE -CT O DE P,64.84
2025-07-06,DROGARIA ULT-CT PULAR,45.25
2025-07-05,Panificadora-CT,64
2025-07-05,PORTAL TINTA-CT,195.9
2025-07-05,WTON        -CT,15
2025-07-05,SUPERMERCADO-CT TA,12.98
2025-07-05,APMEscola   -CT,10
2025-07-05,BIM CONVENIE-CT,22.9
2025-07-04,StopBeer    -CT,6
2025-07-04,AnnaMariaAna-CT,20
2025-07-04,EDMILSON CES-CT E ABR,46.5
2025-07-04,FARMACIAS LU-CT,100.54
2025-07-04,Panificadora-CT,15
2025-07-04,MERCADO REND-CT IS,31.11
2025-07-03,LE MOULIN DEPILACAO,67.1
2025-07-03,JB ESTACIONA-CT OS E L,13.5
2025-07-03,IFD*MARACUTAIA BAR E L,66.99
2025-07-02,MERCADO INDA-CT,36.4
2025-06-29,MERCADO INDA-CT,17.42
2025-06-29,PanetteriaEx-CT s,184.25
2025-06-28,AFIM        -CT,75
2025-06-28,JoaoJoanoni -CT,197.6
2025-06-27,TelmaJoseDeS-CT,10
2025-06-26,MERCADO INDA-CT,5.18
2025-06-24,SABIN MEDICI-CT IA01/03,191.63
2025-06-23,PAGAMENTO EFETUADO,-8539.76
2025-06-21,AmazonPrimeBR,19.9
2025-06-20,MERCADO INDA-CT,35.44
2025-06-18,SMART BIKE  -CT,200
2025-06-18,F M SILVEIRA-CT A EPP,78.98
2025-06-18,BOX DO NELSO-CT,42.98
2025-06-17,ANUIDADE DIFERENCI06/12,105
2025-06-17,MERCADO INDA-CT,17.89
2025-06-07,RDSAUDE ONLINE,-0.02
2025-06-07,RDSAUDE ONLINE    02/03,566.34
2025-06-01,RDSAUDE ONLINE    02/02,393.98
2025-05-28,MON AMOUR CO-CT IO02/02,109.9
2025-05-28,MARISA 625  -CT   02/03,110.31
2025-05-27,SandraMarcia-CT   02/02,482.09
2025-05-15,GOL LINHAS A*YNDPU02/03,174.87
2025-04-30,RDSAUDE ONLINE    03/03,660.34
2025-02-19,MERCADOLIVRE*ESPOR05/06,53.35
2025-01-16,SPRINTA     *SPRIN06/06,116.78
