data,lançamento,valor
2025-06-14,IFD*J D O ENTREGAS LTD,108.98
2025-06-13,GOLD EMPORIO-CT EBIDAS,47.96
2025-06-13,DEMILY 67   -CT,7.5
2025-06-12,IOF COMPRA INTERNACIONA,3.11
2025-06-11,PROFESSIONAL PLAN,87.9
2025-06-10,PADARIA TOSC-CT,20
2025-06-07,RDSAUDE ONLINE    01/03,566.34
2025-06-07,COMPER 360  -CT,36.04
2025-06-07,HAV IPER IPE-CT A EPP,74.99
2025-06-06,IOF COMPRA INTERNACIONA,6.22
2025-06-05,FS *clean.email,177.54
2025-06-05,MINIMERCADO -CT IA,27.85
2025-06-02,MP *TAXIAERO-CT O,39
2025-06-01,PADARIA E RE-CT RANTE,10.9
2025-06-01,HERMOSA BARR-CT REST,208.29
2025-06-01,MAC RESTAURA-CT  LTDA,135
2025-06-01,MOCO        -CT,171.76
2025-06-01,ALDEBARAN KA-CT E,50
2025-06-01,RDSAUDE ONLINE    01/02,393.98
2025-05-31,DE FRENTE   -CT,100.29
2025-05-30,BERLIN *PERO-CT O BROO,63.18
2025-05-30,TIQUIM      -CT,53.9
2025-05-30,ITAIM       -CT,122.78
2025-05-29,EdersonDaAss-CT o,42
2025-05-29,ZIG*Arlete B-CT,257.64
2025-05-29,EXPRESS DIVI-CT AFE,17
2025-05-28,MON AMOUR CO-CT IO01/02,109.9
2025-05-28,LOVELY VARIE-CT S,22
2025-05-28,MERCADO INDA-CT,9.95
2025-05-28,PAULIELLI MA-CT S SOUZ,180
2025-05-28,MARISA 625  -CT   01/03,110.31
2025-05-28,LE MOULIN DE-CT CAO,112.2
2025-05-27,SandraMarcia-CT   01/02,482.09
2025-05-27,PANIFICADORA-CT TE LIB,60.6
2025-05-24,MERCADO INDA-CT,10.15
2025-05-23,MERCADO INDA-CT,66.52
2025-05-22,PAGAMENTO EFETUADO,-2766.71
2025-05-21,AmazonPrimeBR,19.9
2025-05-20,CEP SENAC TU-CT O E G,44.75
2025-05-19,MINIMERCADO -CT IA,12.8
2025-05-17,MERCADO INDA-CT,8.99
2025-05-17,OFFICINA SMA-CT  IMPOR,3
2025-05-17,ANUIDADE DIFERENCI05/12,105
2025-05-16,AZUL LINHAS QJB95M,669.57
2025-05-16,AZUL LINHAS VSBNVE,789.57
2025-05-16,AZUL LINHAS MNFPWQ,476.35
2025-05-15,GOL LINHAS A*YNDPU01/03,174.87
2025-05-15,GOL LINHAS A*YNDPUN011,-0.04
2025-04-30,RDSAUDE ONLINE,-0.02
2025-04-30,KEILA ROSA D-CT LV02/02,1410.68
2025-04-30,RDSAUDE ONLINE    02/03,660.34
2025-02-19,MERCADOLIVRE*ESPOR04/06,53.35
2025-01-16,SPRINTA     *SPRIN05/06,116.78
