data,lançamento,valor
2025-05-15,LATAM AIR,206.34
2025-05-13,HIDRACENTER -CT,325
2025-05-13,MERCADO INDA-CT,7.5
2025-05-12,IOF COMPRA INTERNACIONA,3.05
2025-05-11,PROFESSIONAL PLAN,89.7
2025-05-11,COMPER 360  -CT,130.42
2025-05-10,SpaExpress,300
2025-05-10,MF CG RESTAU-CT E,191.52
2025-05-08,DocotrFeet  -CT,192
2025-05-08,LE MOULIN DE-CT CAO,112.2
2025-05-08,LEITURA CAMP-CT ANDE,150
2025-05-07,DROGASIL 401-CT,193.28
2025-05-06,COMPER 360  -CT,77.7
2025-05-05,MERCADO INDA-CT,7.25
2025-05-05,PAGAMENTO EFETUADO,-2072
2025-05-01,Amazon Digital BR,49.41
2025-04-30,KEILA ROSA D-CT LV01/02,1410.68
2025-04-30,DROGASIL 346-CT,13.29
2025-04-30,RDSAUDE ONLINE    01/03,660.34
2025-04-23,PAGAMENTO EFETUADO,-1353.05
2025-04-21,AmazonPrimeBR,19.9
2025-04-17,ANUIDADE DIFERENCI04/12,105
2025-04-17,MERCADO INDA-CT,31.8
2025-04-15,Amazon Digital BR,53.9
2025-03-02,VIVO BA LJ B-CT   03/03,199.68
2025-02-19,MERCADOLIVRE*ESPOR03/06,53.35
2025-02-18,PAGUE MENOS -CT   03/03,65.34
2025-02-18,LOJA MON AMO-CT   03/03,73.28
2025-01-16,SPRINTA     *SPRIN04/06,116.78
