data,lançamento,valor
2025-03-14,MERCADO INDA-CT,27.48
2025-03-13,IMPERIODOSUS-CT,162.69
2025-03-12,MERCADO INDA-CT,35.82
2025-03-12,J A SUCOS LT-CT,19.99
2025-03-12,MAC ALIMENTA-CT LTDA,15
2025-03-12,LINKER LTDA -CT,16
2025-03-11,VAMO LAGOA,234
2025-03-11,Disney Plus,43.9
2025-03-11,ARMAZEM URBA-CT,6.49
2025-03-08,FROGPAY*LA VIA FAVORIT,17.98
2025-03-07,BANCA DIEGO -CT,22
2025-03-07,ARMAZEM URBA-CT,92.38
2025-03-07,ARMAZEM URBA-CT,46.26
2025-03-03,JOSENILDA DE-CT VEIRA,18
2025-03-03,SAN PAOLO GE-CT RIA,21
2025-03-03,Deltaexpress-CT,12
2025-03-03,CASTANHO BAR-CT OMERC,128.7
2025-03-02,CLUB DO CHUR-CT O,77.88
2025-03-02,VIVO BA LJ B-CT   01/03,199.68
2025-03-02,'FARMACIA RI-CT RMELH,61.4
2025-03-02,VIVO BA LJ B-CT,13
2025-03-02,Telmasilvara-CT r,27
2025-03-02,ERICA BEBIDA-CT,9
2025-03-02,QSQ SHP DA B-CT,17
2025-03-02,MP *LUNNAMOD-CT,25
2025-03-02,Telmasilvara-CT r,51
2025-02-24,PAGAMENTO EFETUADO,-477.36
2025-02-21,AMAZON BR,58.16
2025-02-19,MERCADOLIVRE*ESPOR01/06,53.35
2025-02-18,ATTIVE PHARM-CT   01/02,54.95
2025-02-18,MARISA 625  -CT,59.99
2025-02-18,MERCADOLIVRE*L3JAM01/02,114.72
2025-02-18,LE MOULIN DE-CT CAO,60
2025-02-18,LOJA MON AMO-CT   01/03,73.28
2025-02-18,PAGUE MENOS -CT,34.07
2025-02-18,MERCADOLIVRE*NHACH01/02,73.94
2025-02-18,PAGUE MENOS -CT   01/03,65.34
2025-02-17,ANUIDADE DIFERENCI02/12,105
2025-01-16,SPRINTA     *SPRIN02/06,116.78
