data,lançamento,valor
2025-09-15,BIG FORTE-MOVEIS RUST,25.9
2025-09-14,AMAZON SERVICOS DE VAR,19.9
2025-09-14,IOF COMPRA INTERNACIONA,3.98
2025-09-13,UBER* TRIP,12.56
2025-09-13,THE BEST ACAI RIBAS DO,56.46
2025-09-13,CURSOR  AI POWERED IDE,113.6
2025-09-13,SOBARIA E CIA,40
2025-09-12,MERCADO INDAIA,26.54
2025-09-10,IFD*FUNKY FRESH COMERC,86.98
2025-09-09,UBER* TRIP,10.09
2025-09-09,APPLE.COM/BILL,99.9
2025-09-09,UBER* TRIP,7.6
2025-09-08,MINIMERCADO INDAIA,2.9
2025-09-08,AmazonPrimeBR,-19.9
2025-09-05,RDSAUDE ONLINE    01/06,420.53
2025-09-03,MERCADO INDAIA,33.05
2025-09-01,IPS BR*ONLYFANS,56.07
2025-09-01,MERCADO INDAIA,7.9
2025-08-30,MERCADO INDAIA,1.9
2025-08-30,MON AMOUR COMERCIO01/02,74.95
2025-08-30,MP *ROSALANDIA    01/02,47.5
2025-08-30,UBER* TRIP,13.4
2025-08-30,UBER* TRIP,8.83
2025-08-30,UBER* TRIP,8.76
2025-08-25,PAGAMENTO EFETUADO,-6020.67
2025-08-24,DESC ANTECIPA PARCELAS,-0.42
2025-08-24,DESC ANTECIPA PARCELAS,-1.06
2025-08-23,ChrParticipacoes,128.1
2025-08-23,MERCADO INDAIA,4.75
2025-08-22,UBER* TRIP,6.79
2025-08-22,APPLE.COM/BILL,21.9
2025-08-22,APPLE.COM/BILL,99.9
2025-08-22,PASTELARIA E SOBARIA C,112
2025-08-21,AmazonPrimeBR,19.9
2025-08-20,Amazon Digital BR,94.9
2025-08-17,ANUIDADE DIFERENCI08/12,105
2025-08-15,HTM    *JOBNAGRING02/12,103.11
2025-08-06,MON AMOUR CO-CT IO02/04,52.45
2025-08-06,MON AMOUR CO-CT IO03/04,52.45
2025-08-06,MON AMOUR CO-CT IO04/04,52.45
2025-07-31,DROGASIL 1618,-0.02
2025-07-31,DROGASIL 1618     02/03,62.39
2025-07-31,DROGASIL 1618     03/03,62.39
2025-07-31,MERCADOPAGO *CIASU02/02,154.02
2025-07-23,PARCELAMEN FATURA 04/04,866.33
2025-07-23,EST PROVISAO JUROS - AN,-241.5
2025-07-23,PARCELAMEN FATURA 02/04,866.33
2025-07-23,PARCELAMEN FATURA 03/04,866.33
2025-06-24,SABIN MEDICI-CT IA03/03,191.63
